         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           SWT_IN          SWT_OUT         IN_OUT  PERCENT_ERROR
  NaN                   3    16         365.25        27760.0      16603.94924      30816.51165              0.0      25308.82562          39600.0              0.0        104.85225        183.46423   1.6291233E-6   2.8931948E-9
  NaN                   3    17         365.25       28125.25      15135.03867      29387.88899              0.0      25267.46181          39600.0              0.0       96.0250398        175.71291   2.4171241E-6   4.4083114E-9
  NaN                   3    18         365.25        28490.5      13826.90481      28113.12602              0.0      25233.15347          39600.0              0.0       88.1542661        168.77959   3.2457829E-6   6.0651766E-9
  NaN                   3    19         365.25       28855.75      12675.76172      26988.92306              0.0      25205.39665          39600.0              0.0       81.1039680        162.54599   1.9467916E-6   3.7183120E-9
  NaN                   3    20         365.25        29221.0      11627.98812      25962.12305              0.0      25183.71212          39600.0              0.0       74.7073982        156.86036   2.7567221E-6   5.3734449E-9
  NaN                   3    21         365.25       29586.25      10668.27597      25017.85873              0.0      25167.64629          39600.0              0.0       68.8847461        151.65570   1.9599902E-6   3.8937242E-9
  NaN                   3    22         365.25        29951.5       9817.32186      24177.24342              0.0      25156.77148          39600.0              0.0       63.6961441        147.00312   2.6954222E-6   5.4473862E-9
  NaN                   3    23         365.25       30316.75       9049.89483      23415.43864              0.0      25150.68572          39600.0              0.0       59.0074945        142.77797   2.4386609E-6   5.0066020E-9
  NaN                   3    24         365.25        30682.0       8372.72065      22739.53880              0.0      25149.01221          39600.0              0.0       54.8371224        139.00676   2.5052068E-6   5.2161861E-9
  NaN                   3    25         365.25       31047.25       7765.85225      22129.94220              0.0      25151.39851          39600.0              0.0       51.0925913        135.60414   2.3163811E-6   4.8851337E-9
  NaN                   3    26         365.25        31412.5       7225.03254      21582.71459              0.0      25157.51556          39600.0              0.0       47.7213723        132.52376   2.5260961E-6   5.3892632E-9
  NaN                   3    27         365.25       31777.75       6741.48828      21089.38406              0.0      25167.05665          39600.0              0.0       44.6812303        129.72880   2.2715030E-6   4.8969403E-9
  NaN                   3    28         365.25        32143.0       6317.83239      20652.84429              0.0      25179.73626          39600.0              0.0       41.9496016        127.20144   1.9541767E-6   4.2519277E-9
  NaN                   3    29         365.25       32508.25       5941.70999      20261.00174              0.0      25195.28889          39600.0              0.0       39.4603918        124.87975   2.0773732E-6   4.5575249E-9
