         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           GHB_IN          GHB_OUT      UZF_RECH_IN     UZF_RECH_OUT     UZF_GW_ET_IN    UZF_GW_ET_OUT      UZF_LEAK_IN     UZF_LEAK_OUT           SWR_IN          SWR_OUT      SWR_GWET_IN     SWR_GWET_OUT         IN_OUT  PERCENT_ERROR
  NaN                  15     4      0.1666667     14.6666667       2274.24750              0.0              0.0              0.0        119.71029       34.5188574              0.0              0.0              0.0       2800.39536              0.0        170.37361        865.94787        253.83186              0.0              0.0      0.7859545      0.0241126
  NaN                  15     5      0.1666667     14.8333333       2256.34839              0.0              0.0              0.0        119.97285       34.4690178              0.0              0.0              0.0       2780.86014              0.0        167.32920        862.15391        255.00673              0.0              0.0      0.8100660      0.0250169
  NaN                  15     6      0.1666667     15.0000000       2238.78217              0.0              0.0              0.0        120.24621       34.4195494              0.0              0.0              0.0       2761.47872              0.0        164.30806        858.40206        256.46989              0.0              0.0      0.7542116      0.0234442
  NaN                  16     1      0.1666667     15.1666667       2221.31913              0.0              0.0              0.0        120.51758       34.3704498              0.0              0.0              0.0       2742.25020              0.0        161.31015        854.68702        257.84527              0.0              0.0      0.7476580      0.0233925
  NaN                  16     2      0.1666667     15.3333333       2203.99513              0.0              0.0              0.0        120.78825       34.3217163              0.0              0.0              0.0       2723.17338              0.0        158.33522        851.00441        259.20138              0.0              0.0      0.7560847      0.0238106
  NaN                  16     3      0.1666667     15.5000000       2186.79253              0.0              0.0              0.0        121.05645       34.2733460              0.0              0.0              0.0       2704.24724              0.0        155.38309        847.35284        260.54505              0.0              0.0      0.7531034      0.0238715
  NaN                  16     4      0.1666667     15.6666667       2169.70067              0.0              0.0              0.0        121.32075       34.2253362              0.0              0.0              0.0       2685.47080              0.0        152.45359        843.73221        261.86016              0.0              0.0      0.7437356      0.0237283
  NaN                  16     5      0.1666667     15.8333333       2152.74690              0.0              0.0              0.0        121.58447       34.1776846              0.0              0.0              0.0       2666.84289              0.0        149.54683        840.14675        263.17709              0.0              0.0      0.7336193      0.0235579
  NaN                  16     6      0.1666667     16.0000000       2135.92604              0.0              0.0              0.0        121.84552       34.1303883              0.0              0.0              0.0       2648.36235              0.0        146.66256        836.59191        264.49152              0.0              0.0      0.7166413      0.0231623
  NaN                  17     1      0.1666667     16.1666667       2119.36066              0.0              0.0              0.0        122.11414       34.0834445              0.0              0.0              0.0       2630.02698              0.0        143.80068        833.06555        265.87218              0.0              0.0      0.7570736      0.0246270
  NaN                  17     2      0.1666667     16.3333333       2102.95616              0.0              0.0              0.0        122.38291       34.0368504              0.0              0.0              0.0       2611.83539              0.0        140.96094        829.56332        267.37815              0.0              0.0      0.6910573      0.0226238
  NaN                  17     3      0.1666667     16.5000000       2086.78179              0.0              0.0              0.0        122.65904       33.9906034              0.0              0.0              0.0       2593.78560              0.0        138.14335        826.09113        268.95365              0.0              0.0      0.6587516      0.0217037
  NaN                  17     4      0.1666667     16.6666667       2070.69372              0.0              0.0              0.0        122.93682       33.9447010              0.0              0.0              0.0       2575.87685              0.0        135.34795        822.64955        270.36850              0.0              0.0      0.7420906      0.0246059
  NaN                  17     5      0.1666667     16.8333333       2054.69534              0.0              0.0              0.0        123.20665       33.8991404              0.0              0.0              0.0       2558.10837              0.0        132.57460        819.23281        271.85421              0.0              0.0      0.6984803      0.0233076
  NaN                  17     6      0.1666667     17.0000000       2038.89096              0.0              0.0              0.0        123.48465       33.8539195              0.0              0.0              0.0       2540.47847              0.0        129.82360        815.85304        273.36080              0.0              0.0      0.7118549      0.0239048
  NaN                  18     1      0.1666667     17.1666667       2023.09487              0.0              0.0              0.0        123.75329       33.8090352              0.0              0.0              0.0       2522.98711              0.0        127.09457        812.49096        274.77846              0.0              0.0      0.6699476      0.0226410
  NaN                  18     2      0.1666667     17.3333333       2007.49915              0.0              0.0              0.0        124.02646       33.7644848              0.0              0.0              0.0       2505.63257              0.0        124.38744        809.15258        276.21154              0.0              0.0      0.6821558      0.0231999
  NaN                  18     3      0.1666667     17.5000000       1991.98958              0.0              0.0              0.0        124.29665       33.7202657              0.0              0.0              0.0       2488.41410              0.0        121.70218        805.83907        277.59651              0.0              0.0      0.6922482      0.0236927
  NaN                  18     4      0.1666667     17.6666667       1976.61249              0.0              0.0              0.0        124.56768       33.6763752              0.0              0.0              0.0       2471.33058              0.0        119.03876        802.55001        278.98295              0.0              0.0      0.7015180      0.0241621
  NaN                  18     5      0.1666667     17.8333333       1961.35474              0.0              0.0              0.0        124.83430       33.6328109              0.0              0.0              0.0       2454.38097              0.0        116.39718        799.28502        280.38399              0.0              0.0      0.6791149      0.0235384
  NaN                  18     6      0.1666667     18.0000000       1946.21816              0.0              0.0              0.0        125.10095       33.5895699              0.0              0.0              0.0       2437.56424              0.0        113.77737        796.04141        281.75351              0.0              0.0      0.6758245      0.0235723
  NaN                  19     1      0.1666667     18.1666667       1043.40987       3041.11565              0.0              0.0        122.94873       1383.62852       2193.07875              0.0              0.0       1946.93755              0.0        475.77155       3541.97049       54.1654666              0.0              0.0      0.2108917     -0.0030557
  NaN                  19     2      0.1666667     18.3333333        681.55368       6641.27855              0.0              0.0        101.78108       1385.11617       5576.40868              0.0              0.0       1521.25152              0.0        930.82556       4153.08639       33.9820284              0.0              0.0      0.3759941      0.0035766
  NaN                  19     3      0.1666667     18.5000000        343.73686      21892.08778              0.0              0.0       68.2550242       1399.90309      21625.10699              0.0              0.0       1324.94988              0.0       1336.71194       3936.65804       26.6686318              0.0              0.0      6.5644134     -0.0252701
  NaN                  19     4      0.1666667     18.6666667        111.48887      72540.31170              0.0              0.0       50.3103770       1427.07281      73657.64510              0.0              0.0       1670.20716              0.0       1659.58021       3560.14076       81.4704951              0.0              0.0      0.9427362      0.0012183
  NaN                  19     5      0.1666667     18.8333333              0.0      80433.03491              0.0              0.0       36.3540727       1452.35696      83261.19229              0.0              0.0       2304.71017              0.0       1985.40455       3037.98060        174.53507              0.0              0.0     14.5147005     -0.0168106
  NaN                  19     6      0.1666667     19.0000000              0.0      82645.78858              0.0              0.0       28.0241429       1467.98851      87226.48596              0.0              0.0       3033.41895              0.0       2490.66785       2664.38333        280.03332              0.0              0.0      0.9962233      0.0011079
  NaN                  20     1      0.1666667     19.1666667       2304.93066      45678.70611              0.0              0.0       31.9817177        816.36487      48318.01958              0.0              0.0       3686.73395              0.0       1836.72133       1757.07576        393.01289              0.0              0.0      0.4685714   8.9401932E-4
  NaN                  20     2      0.1666667     19.3333333       2199.51832       7465.80669              0.0              0.0       37.6428854        811.33217      10106.64479              0.0              0.0       3967.85538              0.0       1436.94753       1793.67404        455.35677              0.0              0.0      0.1814853      0.0012837
  NaN                  20     3      0.1666667           19.5       2808.46393       1664.75051              0.0              0.0       40.8621355        807.06645       3500.33828              0.0              0.0       3989.03903              0.0       1179.86575       1794.94962        503.75803              0.0              0.0      0.1342007      0.0016477
  NaN                  20     4      0.1666667     19.6666667       3244.28911        488.19973              0.0              0.0       43.0664547        803.03231       1675.00896              0.0              0.0       3980.55601              0.0       1005.38313       1809.30730        494.40392              0.0              0.0      0.0967312      0.0014285
  NaN                  20     5      0.1666667     19.8333333       3460.34707        148.65145              0.0              0.0       45.1404243        799.21358        899.04671              0.0              0.0       3981.96898              0.0        882.26624       1859.40096        451.71941              0.0              0.0      0.1155067      0.0018440
