         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           SWI_IN          SWI_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1   129            2.0          258.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   130            2.0          260.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   131            2.0          262.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   132            2.0          264.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   133            2.0          266.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   134            2.0          268.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1   135            2.0          270.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   136            2.0          272.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   137            2.0          274.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   138            2.0          276.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   139            2.0          278.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   140            2.0          280.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1   141            2.0          282.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1   142            2.0          284.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   143            2.0          286.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   144            2.0          288.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   145            2.0          290.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   146            2.0          292.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   147            2.0          294.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   148            2.0          296.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   149            2.0          298.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   150            2.0          300.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   151            2.0          302.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   152            2.0          304.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   153            2.0          306.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   154            2.0          308.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   155            2.0          310.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   156            2.0          312.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   157            2.0          314.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   158            2.0          316.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   159            2.0          318.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   160            2.0          320.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  3.3306691E-16  3.3306691E-14
  NaN                   1   161            2.0          322.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   162            2.0          324.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   163            2.0          326.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   164            2.0          328.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   165            2.0          330.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   166            2.0          332.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   167            2.0          334.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   168            2.0          336.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   169            2.0          338.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   170            2.0          340.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  4.4408921E-16  4.4408921E-14
  NaN                   1   171            2.0          342.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   172            2.0          344.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
