         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           DRN_IN          DRN_OUT           RCH_IN          RCH_OUT          MNW1_IN         MNW1_OUT         IN_OUT  PERCENT_ERROR
  NaN                   5    30         14.602   1.0006781E+6              0.0     1.4202068E+6              0.0     1.4784061E+6              0.0     822114.67469        4777500.0              0.0       1341.64088     1.0581131E+6      0.9490013   1.9858398E-5
  NaN                   5    31         14.602   1.0006927E+6              0.0     1.3969264E+6              0.0     1.4907570E+6              0.0     829519.58274        4777500.0              0.0       1455.48088     1.0617516E+6      0.9274606   1.9407183E-5
  NaN                   5    32         14.602   1.0007073E+6              0.0     1.3742833E+6              0.0     1.5028521E+6              0.0     836778.84342        4777500.0              0.0       1567.85100     1.0651530E+6      0.6174739   1.2920385E-5
  NaN                   5    33         14.602   1.0007219E+6              0.0     1.3526977E+6              0.0     1.5147015E+6              0.0     843897.80274        4777500.0              0.0       1678.38530     1.0678803E+6      1.0105674   2.1145215E-5
  NaN                   5    34         14.602   1.0007365E+6              0.0     1.3315077E+6              0.0     1.5263134E+6              0.0     850881.64231        4777500.0              0.0       1787.46312     1.0705836E+6      0.9917133   2.0750235E-5
  NaN                   5    35         14.602   1.0007511E+6              0.0     1.3111874E+6              0.0     1.5376965E+6              0.0     857735.19496        4777500.0              0.0       1894.46772     1.0727756E+6      0.1136848  -2.3786441E-6
  NaN                   5    36         14.602   1.0007657E+6              0.0     1.2920998E+6              0.0     1.5488596E+6              0.0     864462.95880        4777500.0              0.0       1998.70941     1.0740764E+6      0.0149146  -3.1205307E-7
  NaN                   5    37         14.602   1.0007803E+6              0.0     1.2733540E+6              0.0     1.5598109E+6              0.0     871069.19036        4777500.0              0.0       2100.69394     1.0753656E+6      1.0183485   2.1306145E-5
  NaN                   5    38         14.602   1.0007949E+6              0.0     1.2549406E+6              0.0     1.5705580E+6              0.0     877558.03986        4777500.0              0.0       2201.06191     1.0766435E+6      1.0013692   2.0950460E-5
  NaN                   5    39         14.602   1.0008095E+6              0.0     1.2368475E+6              0.0     1.5811083E+6              0.0     883933.25612        4777500.0              0.0       2300.13066     1.0779101E+6      0.9895395   2.0702531E-5
  NaN                   5    40         14.602   1.0008241E+6              0.0     1.2190646E+6              0.0     1.5914686E+6              0.0     890198.38502        4777500.0              0.0       2398.14841     1.0791656E+6      0.9816259   2.0536546E-5
  NaN                   5    41         14.602   1.0008387E+6              0.0     1.2015822E+6              0.0     1.6016453E+6              0.0     896356.78073        4777500.0              0.0       2495.28093     1.0804100E+6      0.9762530   2.0423725E-5
  NaN                   5    42         14.602   1.0008533E+6              0.0     1.1843912E+6              0.0     1.6116446E+6              0.0     902411.61875        4777500.0              0.0       2591.63593     1.0816433E+6      0.9724533   2.0343824E-5
  NaN                   5    43         14.602   1.0008679E+6              0.0     1.1674828E+6              0.0     1.6214719E+6              0.0     908365.90842        4777500.0              0.0       2687.28159     1.0828656E+6      0.9695691   2.0283080E-5
  NaN                   5    44         14.602   1.0008825E+6              0.0     1.1508492E+6              0.0     1.6311327E+6              0.0     914222.50403        4777500.0              0.0       2782.25958     1.0840769E+6      0.9671600   2.0232281E-5
  NaN                   5    45         14.602   1.0008971E+6              0.0     1.1344825E+6              0.0     1.6406319E+6              0.0     919984.11472        4777500.0              0.0       2876.59380     1.0852771E+6      0.9649339   2.0185312E-5
  NaN                   5    46         14.602   1.0009117E+6              0.0     1.1183758E+6              0.0     1.6499742E+6              0.0     925653.31323        4777500.0              0.0       2970.29632     1.0864661E+6      0.9626976   2.0138139E-5
  NaN                   5    47         14.602   1.0009263E+6              0.0     1.1025220E+6              0.0     1.6591638E+6              0.0     931232.54382        4777500.0              0.0       3063.37124     1.0876440E+6      0.9603249   2.0088113E-5
  NaN                   5    48         14.602   1.0009409E+6              0.0     1.0869149E+6              0.0     1.6682051E+6              0.0     936724.12958        4777500.0              0.0       3155.81736     1.0888108E+6      0.9577332   2.0033512E-5
  NaN                   5    49         14.602   1.0009555E+6              0.0     1.0723166E+6              0.0     1.6771032E+6              0.0     942130.44711        4777500.0              0.0       3246.61985     1.0891966E+6      0.2759916  -5.7729810E-6
  NaN                   5    50         14.602   1.0009701E+6              0.0     1.0582338E+6              0.0     1.6858628E+6              0.0     947453.54967        4777500.0              0.0       3336.04467     1.0892860E+6      0.1332670  -2.7875252E-6
