         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           SWT_IN          SWT_OUT         IN_OUT  PERCENT_ERROR
  NaN                   3    13         365.25       26664.25      22520.11980      36394.21125              0.0      25653.40205          39600.0              0.0        140.65047        214.07898      0.9219994     -0.0014809
  NaN                   3    14         365.25        27029.5      20357.50677      34296.52856              0.0      25586.78447          39600.0              0.0        127.83390        202.90772      0.8800857     -0.0014647
  NaN                   3    15         365.25       27394.75      18446.29863      32441.81376              0.0      25528.81998          39600.0              0.0        116.49380        192.99816      0.8394709     -0.0014433
  NaN                   3    16         365.25        27760.0      16773.43421      30817.53136              0.0      25478.95301          39600.0              0.0        106.46919        184.21931      0.8002842     -0.0014169
  NaN                   3    17         365.25       28125.25      15294.46985      29379.75361              0.0      25436.64275          39600.0              0.0       97.5255971        176.36171      0.7626122     -0.0013868
  NaN                   3    18         365.25        28490.5      13971.50890      28091.08453              0.0      25401.36759          39600.0              0.0       89.5230422        169.30633      0.7265042     -0.0013539
  NaN                   3    19         365.25       28855.75      12808.02279      26955.47728              0.0      25372.62813          39600.0              0.0       82.3672058        162.97656      0.6919782     -0.0013183
  NaN                   3    20         365.25        29221.0      11754.05319      25923.43381              0.0      25349.94907          39600.0              0.0       75.8847174        157.21406      0.6590280     -0.0012814
  NaN                   3    21         365.25       29586.25      10786.02135      24971.81272              0.0      25332.88017          39600.0              0.0       69.9679140        151.92401      0.6276286     -0.0012439
  NaN                   3    22         365.25        29951.5       9924.77291      24121.87339              0.0      25320.99666          39600.0              0.0       64.6960413        147.19664      0.5977411     -0.0012054
  NaN                   3    23         365.25       30316.75       9146.84561      23350.54354              0.0      25313.89906          39600.0              0.0       59.9221474        142.89448      0.5693171     -0.0011665
  NaN                   3    24         365.25        30682.0       8461.60371      22667.55380              0.0      25311.21272          39600.0              0.0       55.6853073        139.06479      0.5423014     -0.0011270
  NaN                   3    25         365.25       31047.25       7846.84012      22051.04053              0.0      25312.58706          39600.0              0.0       51.8740099        135.60318      0.5166350     -0.0010877
  NaN                   3    26         365.25        31412.5       7301.08241      21499.85247              0.0      25317.69462          39600.0              0.0       48.4562545        132.48383      0.4922564     -0.0010485
  NaN                   3    27         365.25       31777.75       6810.68854      21000.64744              0.0      25326.23008          39600.0              0.0       45.3636970        129.64381      0.4691038     -0.0010098
  NaN                   3    28         365.25        32143.0       6381.31821      20559.36466              0.0      25337.90910          39600.0              0.0       42.5892934        127.08085      0.4471155  -9.7148054E-4
  NaN                   3    29         365.25       32508.25       6002.05716      20165.35011              0.0      25352.46720          39600.0              0.0       40.0723572        124.73844      0.4262310  -9.3385007E-4
  NaN                   3    30         365.25        32873.5       5651.87388      19797.81426              0.0      25369.65863          39600.0              0.0       37.7225897        122.52997      0.4063918  -8.9731418E-4
  NaN                   3    31         365.25       33238.75       5323.50019      19449.71377              0.0      25389.25523          39600.0              0.0       35.5160894        120.43483      0.3875411  -8.6198380E-4
  NaN                   3    32         365.25        33604.0       5013.00050      19117.32175              0.0      25411.04531          39600.0              0.0       33.4295722        118.43264      0.3696247  -8.2788969E-4
