         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           GHB_IN          GHB_OUT           SFR_IN          SFR_OUT      UZF_RECH_IN     UZF_RECH_OUT     UZF_GW_ET_IN    UZF_GW_ET_OUT      UZF_LEAK_IN     UZF_LEAK_OUT         IN_OUT  PERCENT_ERROR
  NaN                   6     5   121100.22871   1.3644972E+7        3.5450315       22.8098133              0.0              0.0              0.0              0.0        0.2090224        0.2658980       42.7995189       13.5846604        8.3721656              0.0              0.0       18.2679819              0.0              0.0      0.0026152     -0.0047612
  NaN                   6     6   133210.25159   1.3778182E+7        3.2992819       22.9824300              0.0              0.0              0.0              0.0        0.2090226        0.2657605       42.8389442       13.5932174        8.7271357              0.0              0.0       18.2371893              0.0              0.0      0.0042128     -0.0076491
  NaN                   6     7   146531.27674   1.3924713E+7        2.9749770       23.0787682              0.0              0.0              0.0              0.0        0.2090221        0.2656153       42.8756464       13.6310003        9.1199767              0.0              0.0       18.2071358              0.0              0.0      0.0028974     -0.0052508
  NaN                   6     8   161184.40442   1.4085898E+7        2.7398117       23.6106657              0.0              0.0              0.0              0.0        0.2090208        0.2654668       42.9114622       13.7005745        9.8928968              0.0              0.0       18.1777828              0.0              0.0      0.0012983     -0.0023287
  NaN                   6     9   177302.84486   1.4263200E+7        2.5330762       24.8625306              0.0              0.0              0.0              0.0        0.2090191        0.2653048       42.9473522       13.7564810       11.3510779              0.0              0.0       18.1538416              0.0              0.0      0.0023673      0.0041503
  NaN                   6    10   195033.12935   1.4458234E+7        1.8410215       25.8257652              0.0              0.0              0.0              0.0        0.2090167        0.2651439       42.9788527       13.8012900       12.9980208              0.0              0.0       18.1285827              0.0              0.0      0.0061298      0.0105643
  NaN                   6    11   214536.44228   1.4672770E+7        0.7890315       27.8650594              0.0              0.0              0.0              0.0        0.2090135        0.2649766       43.0108824       13.8374094       16.0795592              0.0              0.0       18.1190750              0.0              0.0      0.0019661      0.0032721
  NaN                   6    12   235990.08651   1.4908760E+7        0.5977324       28.6753418              0.0              0.0              0.0              0.0        0.2090096        0.2648072       43.0405274       13.8655072       17.0839820              0.0              0.0       18.1225575              0.0              0.0      0.0030377      0.0049856
  NaN                   6    13   259589.09516   1.5168349E+7        0.4923807       28.2179318              0.0              0.0              0.0              0.0        0.2090054        0.2646422       43.0657506       13.8849748       16.7363729              0.0              0.0       18.1335410              0.0              0.0      0.0024197      0.0039993
  NaN                   6    14   285548.00468   1.5453897E+7        0.4518291       27.9796339              0.0              0.0              0.0              0.0        0.2090007        0.2644727       43.0892236       13.8979959       16.5431198              0.0              0.0       18.1466212              0.0              0.0      0.0044496      0.0073802
  NaN                   6    15   314102.80515   1.5768000E+7        0.4084857       30.2385538              0.0              0.0              0.0              0.0        0.2089957        0.2643093       43.1084433       13.9078302       18.8466082              0.0              0.0       18.1609428              0.0              0.0   8.9686683E-4      0.0014333
  NaN                   7     1    82713.08566   1.5850713E+7        6.7420639       15.3820119              0.0              0.0              0.0             20.0        0.2089941        0.2642670       43.1131531       13.9097987       17.6637440              0.0              0.0       18.1630850              0.0              0.0      0.0087924      0.0129828
  NaN                   7     2    90984.39423   1.5941697E+7        6.5267426       15.0907892              0.0              0.0              0.0             20.0        0.2089924        0.2642227       43.1177325       13.9116499       17.5863460              0.0              0.0       18.1649979              0.0              0.0      0.0081539      0.0120913
  NaN                   7     3   100082.83365   1.6041780E+7        6.2982287       14.6760535              0.0              0.0              0.0             20.0        0.2089906        0.2641764       43.1218156       13.9134642       17.3994035              0.0              0.0       18.1671634              0.0              0.0      0.0075808      0.0113105
  NaN                   7     4   110091.11701   1.6151871E+7        6.0510722       14.2633588              0.0              0.0              0.0             20.0        0.2089887        0.2641282       43.1186852       13.9135255       17.2387480              0.0              0.0       18.1696937              0.0              0.0      0.0067878      0.0101897
  NaN                   7     5   121100.22871   1.6272972E+7        5.9491425       13.8986555              0.0              0.0              0.0             20.0        0.2089868        0.2640786       43.0947169       13.8985060       16.9866389              0.0              0.0       18.1722841              0.0              0.0      0.0059609      0.0089994
  NaN                   7     6   133210.25159   1.6406182E+7        5.8944989       13.3018123              0.0              0.0              0.0             20.0        0.2089847        0.2640238       43.0721810       13.8601091       16.4301410              0.0              0.0       18.1744318              0.0              0.0      0.0054286      0.0082749
  NaN                   7     7   146531.27674   1.6552713E+7        5.8809838       12.7240459              0.0              0.0              0.0             20.0        0.2089826        0.2639657       43.0521449       13.7910159       15.8170172              0.0              0.0       18.1753273              0.0              0.0      0.0047736      0.0073489
  NaN                   7     8   161184.40442   1.6713898E+7        5.7075968       12.2335497              0.0              0.0              0.0             20.0        0.2089804        0.2639062       42.9937781       13.7034631       15.4700970              0.0              0.0       18.1757144              0.0              0.0      0.0038190      0.0059321
  NaN                   7     9   177302.84486   1.6891200E+7        5.7694092       10.9202830              0.0              0.0              0.0             20.0        0.2089783        0.2638449       42.9398758       13.6104983       14.0517475              0.0              0.0       18.1728922              0.0              0.0      0.0024924      0.0039581
  NaN                   7    10   195033.12935   1.7086234E+7        6.4354212       10.0890794              0.0              0.0              0.0             20.0        0.2089763        0.2637825       42.8961298       13.5200372       12.4900692              0.0              0.0       18.1562210              0.0              0.0      0.0014764      0.0023802
  NaN                   7    11   214536.44228   1.7300770E+7        6.6511752        9.3241229              0.0              0.0              0.0             20.0        0.2089742        0.2637191       42.8610379       13.4352700       11.4356412              0.0              0.0       18.1325515              0.0              0.0      0.0011650      0.0019049
  NaN                   7    12   235990.08651   1.7536760E+7        6.5193018        8.5178371              0.0              0.0              0.0             20.0        0.2089722        0.2636554       42.8333046       13.3630166       10.6892577              0.0              0.0       18.1053465              0.0              0.0   9.8069935E-4      0.0016277
  NaN                   7    13   259589.09516   1.7796349E+7        6.2494027        7.6522425              0.0              0.0              0.0             20.0        0.2089704        0.2635918       42.8126222       13.3035258       10.0295752              0.0              0.0       18.0797921              0.0              0.0      0.0014183      0.0023918
  NaN                   7    14   285548.00468   1.8081897E+7        5.8059401        6.9017041              0.0              0.0              0.0             20.0        0.2089686        0.2637260       42.7999711       13.2694323        9.6926097              0.0              0.0       18.0713448              0.0              0.0      0.0012823      0.0021917
  NaN                   7    15   314102.80515   1.8396000E+7        5.4744909        6.1232886              0.0              0.0              0.0             20.0        0.2089669        0.2638960       42.8086197       13.2491943        9.2097811              0.0              0.0       18.0644334              0.0              0.0      0.0010462      0.0018132
  NaN                   8     1    82713.08566   1.8478713E+7        2.5415552       22.8291550              0.0              0.0              0.0              0.0        0.2089663        0.2639376       42.8171497       13.2449083        8.8515142              0.0              0.0       18.0780063              0.0              0.0      0.0031782      0.0058404
  NaN                   8     2    90984.39423   1.8569697E+7        2.4722187       23.1356416              0.0              0.0              0.0              0.0        0.2089658        0.2639805       42.8278764       13.2409263        9.2068634              0.0              0.0       18.0704649              0.0              0.0      0.0049111      0.0089760
  NaN                   8     3   100082.83365   1.8669780E+7        2.4502347       25.3194175              0.0              0.0              0.0              0.0        0.2089653        0.2640239       42.8408120       13.2373939       11.4103492              0.0              0.0       18.0801371              0.0              0.0      0.0093889      0.0164990
  NaN                   8     4   110091.11701   1.8779871E+7        2.3861904       26.0101391              0.0              0.0              0.0              0.0        0.2089647        0.2640677       42.8561736       13.2342672       12.1465457              0.0              0.0       18.0792262              0.0              0.0      0.0101742      0.0176658
  NaN                   8     5   121100.22871   1.8900972E+7        2.3390955       25.8299877              0.0              0.0              0.0              0.0        0.2089642        0.2641069       42.8737382       13.2312464       12.0014781              0.0              0.0       18.0878096              0.0              0.0      0.0101255      0.0176346
  NaN                   8     6   133210.25159   1.9034182E+7        2.2629030       25.6230873              0.0              0.0              0.0              0.0        0.2089637        0.2641350       42.8931460       13.2279725       11.8567831              0.0              0.0       18.0968688              0.0              0.0      0.0097323      0.0170095
  NaN                   8     7   146531.27674   1.9180713E+7        2.1700046       25.3954188              0.0              0.0              0.0              0.0        0.2089633        0.2641507       42.9142061       13.2245381       11.6967347              0.0              0.0       18.0963727              0.0              0.0      0.0094284      0.0165454
  NaN                   8     8   161184.40442   1.9341898E+7        2.0709450       25.2897088              0.0              0.0              0.0              0.0        0.2089629        0.2641534       42.9370028       13.2310867       11.6668395              0.0              0.0       18.0893891              0.0              0.0      0.0094122      0.0165477
  NaN                   8     9   177302.84486   1.9519200E+7        2.0028109       25.0587408              0.0              0.0              0.0              0.0        0.2089626        0.2641417       42.9610532       13.2395504       11.4821508              0.0              0.0       18.0833860              0.0              0.0      0.0091586      0.0161668
  NaN                   8    10   195033.12935   1.9714234E+7        1.8887383       24.9266924              0.0              0.0              0.0              0.0        0.2089625        0.2641171       42.9856079       13.2639071       11.4568198              0.0              0.0       18.0764203              0.0              0.0      0.0089914      0.0159040
  NaN                   8    11   214536.44228   1.9928770E+7        1.7855428       24.7856237              0.0              0.0              0.0              0.0        0.2089624        0.2640803       43.0105880       13.2990622       11.4239068              0.0              0.0       18.0713929              0.0              0.0      0.0088409      0.0156685
  NaN                   8    12   235990.08651   2.0164760E+7        1.6711932       24.5153489              0.0              0.0              0.0              0.0        0.2089626        0.2640319       43.0343996       13.3276786       11.2691054              0.0              0.0       18.0678477              0.0              0.0      0.0087536      0.0155816
