         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT      SUB_INST_IN     SUB_INST_OUT     SUB_DELAY_IN    SUB_DELAY_OUT         IN_OUT  PERCENT_ERROR
  NaN                  14     3     48.3972678     4498.86337       4167.55147              0.0       61.7818421      26037.06129          30000.0          30000.0       5456.30797    3.3638170E-11      16351.42317              0.0      0.0031626   5.6438466E-6
  NaN                  14     4     62.9164481     4561.77982       4152.93449              0.0       62.8647837      25998.15691          30000.0          30000.0       5449.26779    2.7031963E-11      16333.13137              0.0      0.0415197   7.4144681E-5
  NaN                  14     5     81.7913826     4643.57120       4130.64636              0.0       64.2728293      25947.83705          30000.0          30000.0       5435.92649    2.5530805E-11      16316.83606              0.0      0.1553103  -2.7759884E-4
  NaN                  14     6      106.32880     4749.90000       4104.90513              0.0       66.1034192      25882.79712          30000.0          30000.0       5418.38938    1.6234745E-11      16293.37467              0.0      0.0245279  -4.3891700E-5
  NaN                  15     1     28.6374366     4778.53744       4096.05162              0.0       66.5942450      25865.31579          30000.0          30000.0       5387.93834    5.4506285E-11      16314.73217    5.4328540E-13   5.7644895E-4   1.0318548E-6
  NaN                  15     2     37.2286675     4815.76610       4088.68530              0.0       67.2338345      25842.63370          30000.0          30000.0       5414.55114    4.0278890E-11      16272.34181              0.0      0.1783801   3.1943307E-4
  NaN                  15     3     48.3972678     4864.16337       4077.23694              0.0       68.0672863      25813.22628          30000.0          30000.0       5415.28827    3.8082543E-11      16252.63219              0.0      0.0015862  -2.8418992E-6
  NaN                  15     4     62.9164481     4927.07982       4063.27245              0.0       69.1520543      25775.11845          30000.0          30000.0       5408.55931    2.3446975E-11      16234.16924              0.0      0.0346068   6.2046933E-5
  NaN                  15     5     81.7913826     5008.87120       4041.87323              0.0       70.5622880      25725.81908          30000.0          30000.0       5395.88841    2.5052658E-11      16217.34384              0.0      0.1513169  -2.7153867E-4
  NaN                  15     6      106.32880     5115.20000       4017.24379              0.0       72.3954933      25662.08278          30000.0          30000.0       5379.75191    1.9596313E-11      16192.66725              0.0      0.0243381  -4.3724716E-5
  NaN                  16     1     28.6374366     5143.83744       4008.73046              0.0       72.8870150      25644.95057          30000.0          30000.0       5349.46378    4.7050873E-11      16213.87294              0.0      0.0036299   6.5233136E-6
  NaN                  16     2     37.2286675     5181.06610       4001.70088              0.0       73.5274625      25622.71972          30000.0          30000.0       5375.79238    5.1290692E-11      16171.85896              0.0      0.1599581   2.8757648E-4
