         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           GHB_IN          GHB_OUT           SFR_IN          SFR_OUT         IN_OUT  PERCENT_ERROR
  NaN                   4    18    79645.36805   8.4945249E+6        0.2776988        0.1620617              0.0              0.0              0.0        0.3919407        0.2763035              0.0   3.5620541E-8   6.4296736E-6
  NaN                   4    19    87609.90485   8.5821348E+6        0.2739152        0.1804642              0.0              0.0              0.0        0.3919368        0.2984857              0.0   2.3508624E-8   4.1070203E-6
  NaN                   4    20    96370.89534   8.6785057E+6        0.2680996        0.1828703              0.0              0.0              0.0        0.3914426        0.3062133              0.0   3.4943194E-8   6.0843474E-6
  NaN                   4    21   106007.98487   8.7845137E+6        0.2520628        0.1853543              0.0              0.0              0.0        0.3899817        0.3232731              0.0   2.6868925E-8   4.6701283E-6
  NaN                   4    22   116608.78336   8.9011225E+6        0.2460505        0.1927805              0.0              0.0              0.0        0.3883014        0.3350314              0.0   2.6916153E-8   4.6320759E-6
  NaN                   4    23   128269.66169   9.0293922E+6        0.2406709        0.2002629              0.0              0.0              0.0        0.3864203        0.3460123              0.0   1.5856712E-8   2.7027723E-6
  NaN                   4    24   141096.62786   9.1704888E+6        0.2353785        0.2083486              0.0              0.0              0.0        0.3843447        0.3573147              0.0   3.0576147E-9   5.1588483E-7
  NaN                   4    25   155206.29065   9.3256951E+6        0.2299873        0.2172232              0.0              0.0              0.0        0.3820839        0.3693198              0.0   1.5500562E-8   2.5864139E-6
  NaN                   4    26   170726.91972   9.4964220E+6        0.2244829        0.2270732              0.0              0.0              0.0        0.3796836        0.3822740              0.0   4.1037010E-8   6.7633370E-6
  NaN                   4    27   187799.61169   9.6842216E+6        0.2189688        0.2379114              0.0              0.0              0.0        0.3773489        0.3962916              0.0   8.4983128E-8   1.3812548E-5
  NaN                   4    28   206579.57286   9.8908012E+6        0.2141922        0.2495081              0.0              0.0              0.0        0.3758660        0.4111820              0.0   1.0946038E-7   1.7503184E-5
  NaN                   4    29   227237.53014   1.0118039E+7        0.2105815        0.2522635              0.0              0.0              0.0        0.3743991        0.4160811              0.0   8.2958234E-8   1.3238102E-5
  NaN                   4    30   249961.28316   1.0368000E+7        0.2048666        0.2510344              0.0              0.0              0.0        0.3717838        0.4179516              0.0   7.7428224E-8   1.2431914E-5
  NaN                   5     1    15757.41147   1.0383757E+7        0.2001923        0.2514893              0.0              0.0              0.0        0.3716182        0.4229152              0.0   2.8581595E-8   4.5869445E-6
  NaN                   5     2    17333.15262   1.0401091E+7        0.1993159        0.2516487              0.0              0.0              0.0        0.3714355        0.4237684              0.0   1.3486160E-8   2.1644198E-6
  NaN                   5     3    19066.46788   1.0420157E+7        0.1990066        0.2518002              0.0              0.0              0.0        0.3712340        0.4240276              0.0   1.0736021E-8   1.7231832E-6
  NaN                   5     4    20973.11467   1.0441130E+7        0.1985134        0.2519374              0.0              0.0              0.0        0.3710118        0.4244358              0.0   5.1756420E-9   8.3082886E-7
  NaN                   5     5    23070.42613   1.0464201E+7        0.1977683        0.2523470              0.0              0.0              0.0        0.3707668        0.4253455              0.0   1.0374800E-8   1.6649928E-6
  NaN                   5     6    25377.46875   1.0489578E+7        0.1973711        0.2525256              0.0              0.0              0.0        0.3704969        0.4256513              0.0   1.2343776E-8   1.9812731E-6
