         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT            ET_IN           ET_OUT           RCH_IN          RCH_OUT           FHB_IN          FHB_OUT           LAK_IN          LAK_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1    65     56.8726102     2099.81723              0.0       7891.69817     169035.23891       8825.39113              0.0     1.8892495E+6        1740000.0              0.0              0.0              0.0      19060.24218      22129.33855      0.3978669  -2.0635226E-5
  NaN                   1    66     58.0100624     2157.82730              0.0       6995.99871     168786.92885       8901.95174              0.0     1.8911423E+6        1740000.0              0.0              0.0              0.0      19656.47921      21403.54110      0.3869369  -2.0064724E-5
  NaN                   1    67     59.1702636     2216.99756              0.0       6184.78046     168562.53002       8971.16633              0.0     1.8928491E+6        1740000.0              0.0              0.0              0.0      20251.86131      20809.67395      0.3745878  -1.9420623E-5
  NaN                   1    68     60.3536689     2277.35123              0.0       5452.25721     168360.33158       9033.55607              0.0     1.8943839E+6        1740000.0              0.0              0.0              0.0      20833.51084      20324.46142      0.3610755  -1.8716393E-5
  NaN                   1    69     61.5607423     2338.91197              0.0       4792.87002     168178.72790       9089.51128              0.0     1.8957601E+6        1740000.0              0.0              0.0              0.0      21353.95471      19890.58429      0.3695525  -1.9152434E-5
  NaN                   1    70     62.7919571     2401.70393              0.0       4201.47908     168016.01806       9139.70432              0.0     1.8969906E+6        1740000.0              0.0              0.0              0.0      21818.46794      19503.08636      0.3550905  -1.8400048E-5
  NaN                   1    71     64.0477963     2465.75172              0.0       3671.96181     167870.69941       9184.56977              0.0     1.8980875E+6        1740000.0              0.0              0.0              0.0      22231.50737      19158.52606      0.3395048  -1.7589988E-5
  NaN                   1    72     65.3287522     2531.08048              0.0       3199.47921     167741.31968       9224.53948              0.0     1.8990624E+6        1740000.0              0.0              0.0              0.0      22597.75561      18852.99864      0.3229229  -1.6728819E-5
  NaN                   1    73     66.6353272     2597.71580              0.0       2779.26602     167626.49255       9260.03152              0.0     1.8999262E+6        1740000.0              0.0              0.0              0.0      22921.55425      18582.88230      0.3054688  -1.5822902E-5
  NaN                   1    74     67.9680338     2665.68384              0.0       2406.74985     167524.90465       9291.44514              0.0     1.9006891E+6        1740000.0              0.0              0.0              0.0      23206.95169      18344.79979      0.2874861  -1.4890003E-5
  NaN                   1    75     69.3273944     2735.01123              0.0       2077.59042     167435.31859       9319.15830              0.0     1.9013610E+6        1740000.0              0.0              0.0              0.0      23457.71829      18135.60581      0.2691913  -1.3941283E-5
  NaN                   1    76     70.7139423     2805.72517              0.0       1787.69611     167356.57419       9343.52643              0.0     1.9019506E+6        1740000.0              0.0              0.0              0.0      23677.35510      17952.37981      0.2507043  -1.2982903E-5
  NaN                   1    77     72.1282212     2877.85340              0.0       1533.23115     167287.58863       9364.88191              0.0     1.9024664E+6        1740000.0              0.0              0.0              0.0      23869.10174      17792.41935      0.2323259  -1.2030403E-5
  NaN                   1    78     73.5707856     2951.42418              0.0       1310.61750     167227.35580       9383.53402              0.0     1.9029161E+6        1740000.0              0.0              0.0              0.0      24035.94492      17653.23300      0.2141376  -1.1087956E-5
  NaN                   1    79     75.0422013     3026.46638              0.0       1116.53363     167174.94495       9399.76915              0.0     1.9033069E+6        1740000.0              0.0              0.0              0.0      24180.62786      17532.53244      0.1964264  -1.0170392E-5
  NaN                   1    80     76.5430453     3103.00943              0.0        947.91011     167129.49886       9413.85130              0.0     1.9036454E+6        1740000.0              0.0              0.0              0.0      24305.66058      17428.22391      0.1792967  -9.2830805E-6
  NaN                   1    81     78.0739063     3181.08333              0.0        801.92339     167090.23137       9426.02275              0.0     1.9039374E+6        1740000.0              0.0              0.0              0.0      24413.33087      17338.39902      0.1627788  -8.4275704E-6
  NaN                   1    82     79.6353844     3260.71872              0.0        675.98773     167056.42465       9436.50487              0.0     1.9041885E+6        1740000.0              0.0              0.0              0.0      24505.71588      17261.32513      0.1470227  -7.6115936E-6
  NaN                   1    83     81.2280921     3341.94681              0.0        567.74551     167027.42601       9445.49905              0.0     1.9044036E+6        1740000.0              0.0              0.0              0.0      24584.69401      17195.43534      0.1321674  -6.8423374E-6
  NaN                   1    84     82.8526539     3424.79946              0.0        475.05639     167002.64457       9453.18768              0.0     1.9045872E+6        1740000.0              0.0              0.0              0.0      24651.95725      17139.31827      0.1181945  -6.1188191E-6
  NaN                   1    85     84.5097070     3509.30917              0.0        395.98592     166981.54768       9459.73527              0.0     1.9047432E+6        1740000.0              0.0              0.0              0.0      24709.02341      17091.70784      0.1051676  -5.4443310E-6
  NaN                   1    86     86.1999011     3595.50907              0.0        328.79378     166963.68720       9465.24693              0.0     1.9048754E+6        1740000.0              0.0              0.0              0.0      24757.17475      17051.88122      0.5033664  -2.6057925E-5
  NaN                   1    87     87.9238991     3683.43297              0.0        270.96156     166948.58948       9469.92678              0.0     1.9049866E+6        1740000.0              0.0              0.0              0.0      24797.02236      17018.59031      0.4347373  -2.2504893E-5
  NaN                   1    88     89.6823771     3773.11535              0.0        222.90164     166935.89636       9473.87074              0.0     1.9050798E+6        1740000.0              0.0              0.0              0.0      24830.73327      16990.42238      0.3754346  -1.9434779E-5
  NaN                   1    89     91.4760247     3864.59137              0.0        182.80490     166925.27284       9477.17652              0.0     1.9051578E+6        1740000.0              0.0              0.0              0.0      24858.99749      16966.80303      0.3231147  -1.6726230E-5
  NaN                   1    90     93.3055452     3957.89692              0.0        149.38818     166916.41670       9479.93499              0.0     1.9052228E+6        1740000.0              0.0              0.0              0.0      24882.56240      16947.10859      0.2769877  -1.4338326E-5
  NaN                   1    91     95.1716561     4053.06858              0.0        121.61128     166909.06196       9482.22738              0.0     1.9052768E+6        1740000.0              0.0              0.0              0.0      24902.11517      16930.76542      0.2363598  -1.2235140E-5
  NaN                   1    92     97.0750892     4150.14366              0.0       98.5985046     166902.97758       9484.12487              0.0     1.9053215E+6        1740000.0              0.0              0.0              0.0      24918.26458      16917.26531      0.2007414  -1.0391305E-5
  NaN                   1    93     99.0165910     4249.16026              0.0       79.6035192     166897.96418       9485.68911              0.0     1.9053582E+6        1740000.0              0.0              0.0              0.0      24931.54229      16906.16438      0.1696922  -8.7840124E-6
  NaN                   1    94      100.99692     4350.15718              0.0       63.9876697     166893.85041       9486.97328              0.0     1.9053884E+6        1740000.0              0.0              0.0              0.0      24942.40885      16897.07809      0.1427824  -7.3910209E-6
  NaN                   1    95      103.01686     4453.17404              0.0       51.2041592     166890.48945       9488.02296              0.0     1.9054130E+6        1740000.0              0.0              0.0              0.0      24951.26071      16889.67540      0.1195341  -6.1875732E-6
  NaN                   1    96      105.07720     4558.25124              0.0       39.8909171     166887.82499       9488.84208              0.0     1.9054325E+6        1740000.0              0.0              0.0              0.0      24958.76794      16883.14408      2.1978881   1.1377142E-4
  NaN                   1    97      107.17874     4665.42998              0.0       31.7147295     166885.66234       9489.51292              0.0     1.9054484E+6        1740000.0              0.0              0.0              0.0      24964.29177      16878.55166      1.8016792   9.3261902E-5
  NaN                   1    98      109.32232     4774.75230              0.0       25.1690487     166883.90532       9490.06154              0.0     1.9054612E+6        1740000.0              0.0              0.0              0.0      24968.81419      16874.80488      1.4764845   7.6428450E-5
  NaN                   1    99      111.50876     4886.26106              0.0       16.2811538     166882.79941       9490.36442              0.0     1.9054697E+6        1740000.0              0.0              0.0              0.0      24972.89548      16871.55055      7.8259187   4.0509934E-4
  NaN                   1   100      113.73894     5000.00000              0.0       12.7626584     166881.85475       9490.64002              0.0     1.9054764E+6        1740000.0              0.0              0.0              0.0      24974.48124      16870.25135      6.2363849   3.2281877E-4
